structure_id,relative_cif_path,node_count,edge_count,intralayer_edge_count,interlayer_edge_count,distance_cutoff,has_edges,edge_distance_mean,edge_distance_std,edge_distance_min,edge_distance_max,energy,delta_energy,lower_rotation,displacement,upper_rotation,graph_file
L0_D3.6_U200,r0/t3.6/t3.6_200.cif,156,3590,3486,104,4.5,True,3.051966796117214,0.9052385594841412,0.9774088515691876,4.494149984473935,-936.27906,0.360740000000078,0.0,3.6,200.0,L0_D3.6_U200.pkl
L0_D3.6_U220,r0/t3.6/t3.6_220.cif,156,3778,3494,284,4.5,True,3.085111331774962,0.9052804106399102,0.9772874820115599,4.499411488236702,-936.64556,-0.0057600000000093,0.0,3.6,220.0,L0_D3.6_U220.pkl
L0_D3.6_U240,r0/t3.6/t3.6_240.cif,156,3748,3468,280,4.5,True,3.0817193295355017,0.9017895258010746,0.9771829166292679,4.498945567975668,-936.71331,-0.073509999999942,0.0,3.6,240.0,L0_D3.6_U240.pkl
L0_D3.6_U260,r0/t3.6/t3.6_260.cif,156,3704,3480,224,4.5,True,3.068826034609753,0.8985001871950681,0.9774220414535386,4.4971076687080735,-936.52649,0.1133100000000695,0.0,3.6,260.0,L0_D3.6_U260.pkl
L0_D3.6_U280,r0/t3.6/t3.6_280.cif,156,3704,3478,226,4.5,True,3.0760935766546096,0.9046905491453406,0.9772780183228331,4.499127978856772,-936.43235,0.2074499999999943,0.0,3.6,280.0,L0_D3.6_U280.pkl
L0_D3.6_U300,r0/t3.6/t3.6_300.cif,156,3764,3476,288,4.5,True,3.081465752638751,0.8983304931688064,0.9771953370557294,4.494831239519333,-936.38418,0.2556200000000217,0.0,3.6,300.0,L0_D3.6_U300.pkl
L0_D3.6_U320,r0/t3.6/t3.6_320.cif,156,3794,3486,308,4.5,True,3.085333312778205,0.9036618617726768,0.9775136115142009,4.499804403831286,-936.57345,0.0663500000000567,0.0,3.6,320.0,L0_D3.6_U320.pkl
L0_D3.6_U340,r0/t3.6/t3.6_340.cif,156,3740,3478,262,4.5,True,3.0736995143785317,0.9035887679225603,0.9775651346318162,4.49989920479004,-936.51674,0.1230600000000095,0.0,3.6,340.0,L0_D3.6_U340.pkl
L0_D3.6_U40,r0/t3.6/t3.6_40.cif,156,3572,3480,92,4.5,True,3.0341558446763606,0.8967527287215604,0.9771931516570663,4.495898233437785,-936.03323,0.6065700000000334,0.0,3.6,40.0,L0_D3.6_U40.pkl
L0_D3.6_U60,r0/t3.6/t3.6_60.cif,156,3630,3498,132,4.5,True,3.0547276525605414,0.9035685963692454,0.976966398300372,4.498717008468264,-936.18679,0.453010000000063,0.0,3.6,60.0,L0_D3.6_U60.pkl
L0_D3.6_U80,r0/t3.6/t3.6_80.cif,156,3662,3476,186,4.5,True,3.065500206295273,0.904334060979312,0.9770633216182741,4.499077121280258,-936.34376,0.2960400000000618,0.0,3.6,80.0,L0_D3.6_U80.pkl
L0_D4.8_U0,r0/t4.8/t4.8_0.cif,156,3806,3468,338,4.5,True,3.079006223008508,0.8942840674555831,0.9771887962777696,4.499436925415419,-936.74559,-0.1057899999999563,0.0,4.8,0.0,L0_D4.8_U0.pkl
L0_D4.8_U100,r0/t4.8/t4.8_100.cif,156,3838,3466,372,4.5,True,3.0853727909685267,0.8999819469720518,0.9771484289063812,4.499187619613681,-936.76952,-0.1297200000000202,0.0,4.8,100.0,L0_D4.8_U100.pkl
L0_D4.8_U120,r0/t4.8/t4.8_120.cif,156,3782,3464,318,4.5,True,3.0785523092318416,0.9003239776597584,0.9771926119975991,4.494220356220469,-936.64234,-0.0025399999999535,0.0,4.8,120.0,L0_D4.8_U120.pkl
L0_D4.8_U140,r0/t4.8/t4.8_140.cif,156,3672,3478,194,4.5,True,3.0640227888818328,0.9027164031015714,0.9766049227860466,4.497140888482141,-936.38432,0.2554800000000341,0.0,4.8,140.0,L0_D4.8_U140.pkl
L0_D4.8_U160,r0/t4.8/t4.8_160.cif,156,3616,3490,126,4.5,True,3.065377111787985,0.910958800738426,0.9764543202007105,4.496975160386723,-936.09261,0.5471900000000005,0.0,4.8,160.0,L0_D4.8_U160.pkl
L0_D4.8_U180,r0/t4.8/t4.8_180.cif,156,3566,3486,80,4.5,True,3.0433717645317437,0.9029081809204953,0.9773496127623198,4.497553656905456,-936.1725,0.4673000000000229,0.0,4.8,180.0,L0_D4.8_U180.pkl
L0_D4.8_U20,r0/t4.8/t4.8_20.cif,156,3634,3498,136,4.5,True,3.055293108079834,0.9025216012521627,0.9768706250274218,4.493869013025258,-936.09707,0.5427300000000059,0.0,4.8,20.0,L0_D4.8_U20.pkl
L0_D4.8_U200,r0/t4.8/t4.8_200.cif,156,3578,3500,78,4.5,True,3.0450530783058416,0.9024494730032045,0.9774833713325088,4.49829258138994,-936.26775,0.3720500000000584,0.0,4.8,200.0,L0_D4.8_U200.pkl
L0_D4.8_U220,r0/t4.8/t4.8_220.cif,156,3772,3488,284,4.5,True,3.081351906407525,0.9031261843587258,0.9773672749283556,4.497198698852413,-936.62762,0.0121800000000575,0.0,4.8,220.0,L0_D4.8_U220.pkl
