structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,tsne_1,tsne_2
L100_D0_U260,r100/t0/t0_260.cif,100.0,0.0,260.0,-936.6248168945312,0.014999999664723873,10.574547,-59.902264
L100_D0_U280,r100/t0/t0_280.cif,100.0,0.0,280.0,-936.4786987304688,0.16112999618053436,1.6914766,-55.18984
L100_D0_U300,r100/t0/t0_300.cif,100.0,0.0,300.0,-936.2449340820312,0.3948400020599365,-5.481847,-18.987967
L100_D0_U320,r100/t0/t0_320.cif,100.0,0.0,320.0,-936.2393188476562,0.4005100131034851,-12.545321,-21.843382
L100_D0_U340,r100/t0/t0_340.cif,100.0,0.0,340.0,-936.2039184570312,0.4359000027179718,-13.161084,-22.170567
L100_D0_U40,r100/t0/t0_40.cif,100.0,0.0,40.0,-936.1392211914062,0.5005699992179871,-38.452305,-40.472332
L100_D0_U60,r100/t0/t0_60.cif,100.0,0.0,60.0,-936.4083251953125,0.23146000504493713,28.172125,-42.09875
L100_D0_U80,r100/t0/t0_80.cif,100.0,0.0,80.0,-936.43896484375,0.20085999369621277,-0.6346812,-55.91731
L100_D1.2_U0,r100/t1.2/t1.2_0.cif,100.0,1.2000000476837158,0.0,-936.240234375,0.3995400071144104,-21.910551,-25.828384
L100_D1.2_U100,r100/t1.2/t1.2_100.cif,100.0,1.2000000476837158,100.0,-936.4295654296875,0.21026000380516052,-0.17644705,-49.468864
L100_D1.2_U120,r100/t1.2/t1.2_120.cif,100.0,1.2000000476837158,120.0,-936.3609619140625,0.2788600027561188,-3.1065638,-23.815565
L100_D1.2_U140,r100/t1.2/t1.2_140.cif,100.0,1.2000000476837158,140.0,-936.1817016601562,0.458079993724823,-16.322304,-14.809658
L100_D1.2_U160,r100/t1.2/t1.2_160.cif,100.0,1.2000000476837158,160.0,-936.147216796875,0.49257001280784607,-14.620562,-26.227308
L100_D1.2_U180,r100/t1.2/t1.2_180.cif,100.0,1.2000000476837158,180.0,-936.0634155273438,0.5763900279998779,-28.629225,-24.681517
L100_D1.2_U20,r100/t1.2/t1.2_20.cif,100.0,1.2000000476837158,20.0,-936.2007446289062,0.4390699863433838,-35.22007,-35.903984
