structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,umap_1,umap_2
L0_D6_U120,r0/t6.0/t6.0_120.cif,0.0,6.0,120.0,-936.5726928710938,0.06712000072002411,3.8084803,-1.005
L0_D6_U140,r0/t6.0/t6.0_140.cif,0.0,6.0,140.0,-936.6351318359375,0.004679999779909849,3.462346,1.1321188
L0_D6_U160,r0/t6.0/t6.0_160.cif,0.0,6.0,160.0,-936.2063598632812,0.4334399998188019,3.477377,2.8421988
L0_D6_U180,r0/t6.0/t6.0_180.cif,0.0,6.0,180.0,-936.1717529296875,0.46803000569343567,3.7216194,3.2338512
L0_D6_U20,r0/t6.0/t6.0_20.cif,0.0,6.0,20.0,-936.1077880859375,0.5320000052452087,6.087305,3.9713304
L0_D6_U200,r0/t6.0/t6.0_200.cif,0.0,6.0,200.0,-936.2504272460938,0.38936999440193176,6.791345,2.0568564
L0_D6_U220,r0/t6.0/t6.0_220.cif,0.0,6.0,220.0,-936.4277954101562,0.212009996175766,6.5383644,1.6870468
L0_D6_U240,r0/t6.0/t6.0_240.cif,0.0,6.0,240.0,-936.5037841796875,0.13600000739097595,3.9054615,-2.8610666
L0_D6_U260,r0/t6.0/t6.0_260.cif,0.0,6.0,260.0,-936.44580078125,0.19401000440120697,3.5227487,-2.9884965
L0_D6_U280,r0/t6.0/t6.0_280.cif,0.0,6.0,280.0,-936.4337768554688,0.20603999495506287,-0.30312493,-3.4004314
L0_D6_U300,r0/t6.0/t6.0_300.cif,0.0,6.0,300.0,-936.4136962890625,0.2261199951171875,2.6406674,-1.742809
L0_D6_U320,r0/t6.0/t6.0_320.cif,0.0,6.0,320.0,-936.3141479492188,0.32565999031066895,3.4831758,0.9663517
L0_D6_U340,r0/t6.0/t6.0_340.cif,0.0,6.0,340.0,-936.0435791015625,0.5961999893188477,3.3533564,2.318151
L0_D6_U40,r0/t6.0/t6.0_40.cif,0.0,6.0,40.0,-936.0645751953125,0.5752500295639038,6.6778135,4.3746023
L0_D6_U60,r0/t6.0/t6.0_60.cif,0.0,6.0,60.0,-936.1625366210938,0.47729000449180603,6.190314,6.16522
L0_D6_U80,r0/t6.0/t6.0_80.cif,0.0,6.0,80.0,-936.6168823242188,0.02290000021457672,-0.1267852,-2.9749181
L0_D7.2_U0,r0/t7.2/t7.2_0.cif,0.0,7.199999809265137,0.0,-936.3482666015625,0.29155001044273376,3.784079,1.6432045
L0_D7.2_U100,r0/t7.2/t7.2_100.cif,0.0,7.199999809265137,100.0,-936.6712646484375,-0.03147000074386597,2.4545794,-2.1647289
L0_D7.2_U120,r0/t7.2/t7.2_120.cif,0.0,7.199999809265137,120.0,-936.3850708007812,0.25473999977111816,3.8053105,-1.0041687
L0_D7.2_U140,r0/t7.2/t7.2_140.cif,0.0,7.199999809265137,140.0,-936.3043212890625,0.3354499936103821,3.3094304,1.5126749
L0_D7.2_U160,r0/t7.2/t7.2_160.cif,0.0,7.199999809265137,160.0,-936.23681640625,0.4030100107192993,3.443829,2.8494654
L0_D7.2_U180,r0/t7.2/t7.2_180.cif,0.0,7.199999809265137,180.0,-936.1014404296875,0.5383599996566772,3.7540846,3.258354
L0_D7.2_U20,r0/t7.2/t7.2_20.cif,0.0,7.199999809265137,20.0,-936.149658203125,0.4901300072669983,6.101975,3.99664
L0_D7.2_U200,r0/t7.2/t7.2_200.cif,0.0,7.199999809265137,200.0,-936.1697387695312,0.47009000182151794,6.786893,2.0446858
L0_D7.2_U220,r0/t7.2/t7.2_220.cif,0.0,7.199999809265137,220.0,-936.2457885742188,0.39399001002311707,6.624335,1.748852
L0_D7.2_U240,r0/t7.2/t7.2_240.cif,0.0,7.199999809265137,240.0,-936.2835083007812,0.35627999901771545,4.00715,-2.882104
L0_D7.2_U260,r0/t7.2/t7.2_260.cif,0.0,7.199999809265137,260.0,-936.2553100585938,0.38449999690055847,3.588416,-2.9966016
