structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,pca_1,pca_2
L0_D4.8_U40,r0/t4.8/t4.8_40.cif,0.0,4.800000190734863,40.0,-936.0169677734375,0.6228600144386292,-0.13828054680380442,3.19794030203194
L0_D4.8_U60,r0/t4.8/t4.8_60.cif,0.0,4.800000190734863,60.0,-936.35986328125,0.2799600064754486,-0.15003053210557082,-1.1655037480876933
L0_D4.8_U80,r0/t4.8/t4.8_80.cif,0.0,4.800000190734863,80.0,-936.490234375,0.14956000447273254,0.16448154956195227,-1.41846735685749
L0_D6_U0,r0/t6.0/t6.0_0.cif,0.0,6.0,0.0,-936.0494995117188,0.5903300046920776,-1.7162539074664092,-1.03840848062018
L0_D6_U100,r0/t6.0/t6.0_100.cif,0.0,6.0,100.0,-936.7807006835938,-0.14088000357151031,5.300346471032434,-2.2708098038771602
L0_D6_U120,r0/t6.0/t6.0_120.cif,0.0,6.0,120.0,-936.5726928710938,0.06712000072002411,2.7802326529992056,-3.617862889533315
L0_D6_U140,r0/t6.0/t6.0_140.cif,0.0,6.0,140.0,-936.6351318359375,0.004679999779909849,2.205006845340953,-4.129158284582103
L0_D6_U160,r0/t6.0/t6.0_160.cif,0.0,6.0,160.0,-936.2063598632812,0.4334399998188019,-1.6656409818743723,-2.2778855986707893
L0_D6_U180,r0/t6.0/t6.0_180.cif,0.0,6.0,180.0,-936.1717529296875,0.46803000569343567,-0.7250206238888395,1.078758121228562
L0_D6_U20,r0/t6.0/t6.0_20.cif,0.0,6.0,20.0,-936.1077880859375,0.5320000052452087,0.013329012443249022,1.5352296264024312
L0_D6_U200,r0/t6.0/t6.0_200.cif,0.0,6.0,200.0,-936.2504272460938,0.38936999440193176,-2.0075346141332666,0.7780173499059146
L0_D6_U220,r0/t6.0/t6.0_220.cif,0.0,6.0,220.0,-936.4277954101562,0.212009996175766,-2.3328576756383277,-0.9632423157114836
L0_D6_U240,r0/t6.0/t6.0_240.cif,0.0,6.0,240.0,-936.5037841796875,0.13600000739097595,-0.6066258640083804,-0.0751471018861457
L0_D6_U260,r0/t6.0/t6.0_260.cif,0.0,6.0,260.0,-936.44580078125,0.19401000440120697,0.3765319734979766,-1.1812750867109116
L0_D6_U280,r0/t6.0/t6.0_280.cif,0.0,6.0,280.0,-936.4337768554688,0.20603999495506287,0.7872557514656566,-3.1671310166076605
L0_D6_U300,r0/t6.0/t6.0_300.cif,0.0,6.0,300.0,-936.4136962890625,0.2261199951171875,2.6796470383967215,-4.02228856964542
L0_D6_U320,r0/t6.0/t6.0_320.cif,0.0,6.0,320.0,-936.3141479492188,0.32565999031066895,2.371253724912891,-3.297839771951474
L0_D6_U340,r0/t6.0/t6.0_340.cif,0.0,6.0,340.0,-936.0435791015625,0.5961999893188477,-1.8694378903183442,-2.8727833983004105
L0_D6_U40,r0/t6.0/t6.0_40.cif,0.0,6.0,40.0,-936.0645751953125,0.5752500295639038,0.5651667199725006,3.318140045265542
L0_D6_U60,r0/t6.0/t6.0_60.cif,0.0,6.0,60.0,-936.1625366210938,0.47729000449180603,-1.6153109939984511,0.49575666073058267
L0_D6_U80,r0/t6.0/t6.0_80.cif,0.0,6.0,80.0,-936.6168823242188,0.02290000021457672,2.3954364450185652,-2.2190844819448428
L0_D7.2_U0,r0/t7.2/t7.2_0.cif,0.0,7.199999809265137,0.0,-936.3482666015625,0.29155001044273376,0.8689922520910012,-2.870857965195481
L0_D7.2_U100,r0/t7.2/t7.2_100.cif,0.0,7.199999809265137,100.0,-936.6712646484375,-0.03147000074386597,5.00634278978842,-2.2432530668933297
L0_D7.2_U120,r0/t7.2/t7.2_120.cif,0.0,7.199999809265137,120.0,-936.3850708007812,0.25473999977111816,1.7229598389052503,-3.9268779148074158
L0_D7.2_U140,r0/t7.2/t7.2_140.cif,0.0,7.199999809265137,140.0,-936.3043212890625,0.3354499936103821,-0.3228499632254658,-4.350396092401281
L0_D7.2_U160,r0/t7.2/t7.2_160.cif,0.0,7.199999809265137,160.0,-936.23681640625,0.4030100107192993,-1.3345812087574025,-2.2787318862086865
