structure_id,relative_cif_path,cluster_label,energy,delta_energy,lower_rotation,displacement,upper_rotation
L240_D0_U260,r240/t0/t0_260.cif,1,-936.2180786132812,0.4217199981212616,240.0,0.0,260.0
L240_D0_U300,r240/t0/t0_300.cif,1,-936.2123413085938,0.4274699985980987,240.0,0.0,300.0
L240_D9.6_U260,r240/t9.6/t9.6_260.cif,1,-936.2041625976562,0.4356499910354614,240.0,9.600000381469728,260.0
L240_D2.4_U120,r240/t2.4/t2.4_120.cif,1,-936.202392578125,0.4374200105667114,240.0,2.400000095367432,120.0
L240_D1.2_U300,r240/t1.2/t1.2_300.cif,1,-936.2013549804688,0.4384199976921081,240.0,1.2000000476837158,300.0
L240_D9.6_U240,r240/t9.6/t9.6_240.cif,1,-936.2012939453124,0.4384999871253967,240.0,9.600000381469728,240.0
L240_D3.6_U120,r240/t3.6/t3.6_120.cif,1,-936.200439453125,0.4393399953842163,240.0,3.5999999046325684,120.0
L240_D7.2_U260,r240/t7.2/t7.2_260.cif,1,-936.1956176757812,0.4442099928855896,240.0,7.199999809265137,260.0
L240_D4.8_U340,r240/t4.8/t4.8_340.cif,1,-936.1936645507812,0.4461300075054168,240.0,4.800000190734863,340.0
L240_D2.4_U140,r240/t2.4/t2.4_140.cif,1,-936.192138671875,0.4476599991321563,240.0,2.400000095367432,140.0
L240_D0_U240,r240/t0/t0_240.cif,1,-936.1889038085938,0.4509100019931793,240.0,0.0,240.0
L240_D3.6_U340,r240/t3.6/t3.6_340.cif,1,-936.1835327148438,0.4562900066375732,240.0,3.5999999046325684,340.0
L240_D1.2_U140,r240/t1.2/t1.2_140.cif,1,-936.1831665039062,0.4566200077533722,240.0,1.2000000476837158,140.0
L240_D6_U300,r240/t6.0/t6.0_300.cif,1,-936.17919921875,0.4605900049209595,240.0,6.0,300.0
L240_D4.8_U320,r240/t4.8/t4.8_320.cif,1,-936.1719360351562,0.4678800106048584,240.0,4.800000190734863,320.0
L240_D2.4_U340,r240/t2.4/t2.4_340.cif,1,-936.1710815429688,0.4686999917030334,240.0,2.400000095367432,340.0
L240_D1.2_U340,r240/t1.2/t1.2_340.cif,1,-936.1710815429688,0.4687100052833557,240.0,1.2000000476837158,340.0
L240_D4.8_U100,r240/t4.8/t4.8_100.cif,1,-936.1698608398438,0.4699400067329407,240.0,4.800000190734863,100.0
L240_D7.2_U240,r240/t7.2/t7.2_240.cif,1,-936.16748046875,0.4723399877548218,240.0,7.199999809265137,240.0
L240_D3.6_U320,r240/t3.6/t3.6_320.cif,1,-936.166259765625,0.4735699892044067,240.0,3.5999999046325684,320.0
L240_D1.2_U100,r240/t1.2/t1.2_100.cif,1,-936.1660766601562,0.4737100005149841,240.0,1.2000000476837158,100.0
L240_D1.2_U260,r240/t1.2/t1.2_260.cif,1,-936.1660766601562,0.4737499952316284,240.0,1.2000000476837158,260.0
L240_D6_U260,r240/t6.0/t6.0_260.cif,1,-936.1577758789062,0.482010006904602,240.0,6.0,260.0
L240_D0_U140,r240/t0/t0_140.cif,1,-936.1516723632812,0.4881399869918823,240.0,0.0,140.0
L240_D2.4_U160,r240/t2.4/t2.4_160.cif,1,-936.1466674804688,0.4931600093841553,240.0,2.400000095367432,160.0
L240_D4.8_U260,r240/t4.8/t4.8_260.cif,1,-936.1312255859376,0.5085700154304504,240.0,4.800000190734863,260.0
L240_D6_U240,r240/t6.0/t6.0_240.cif,1,-936.125732421875,0.5140399932861328,240.0,6.0,240.0
L240_D2.4_U100,r240/t2.4/t2.4_100.cif,1,-936.1241455078124,0.5156700015068054,240.0,2.400000095367432,100.0
L240_D7.2_U140,r240/t7.2/t7.2_140.cif,1,-936.1185913085938,0.5211899876594543,240.0,7.199999809265137,140.0
L240_D3.6_U260,r240/t3.6/t3.6_260.cif,1,-936.11376953125,0.5260400176048279,240.0,3.5999999046325684,260.0
L240_D4.8_U240,r240/t4.8/t4.8_240.cif,1,-936.1102294921876,0.5296000242233276,240.0,4.800000190734863,240.0
L240_D2.4_U260,r240/t2.4/t2.4_260.cif,1,-936.10986328125,0.5299400091171265,240.0,2.400000095367432,260.0
L240_D3.6_U100,r240/t3.6/t3.6_100.cif,1,-936.0980224609376,0.5417799949645996,240.0,3.5999999046325684,100.0
L240_D1.2_U240,r240/t1.2/t1.2_240.cif,1,-936.097900390625,0.5419300198554993,240.0,1.2000000476837158,240.0
L240_D3.6_U240,r240/t3.6/t3.6_240.cif,1,-936.0673217773438,0.5724999904632568,240.0,3.5999999046325684,240.0
L220_D7.2_U320,r220/t7.2/t7.2_320.cif,2,-937.0593872070312,-0.4196000099182129,220.0,7.199999809265137,320.0
L180_D1.2_U300,r180/t1.2/t1.2_300.cif,2,-937.0496215820312,-0.4098199903964996,180.0,1.2000000476837158,300.0
L240_D7.2_U320,r240/t7.2/t7.2_320.cif,2,-937.0426025390624,-0.4028300046920776,240.0,7.199999809265137,320.0
L180_D2.4_U320,r180/t2.4/t2.4_320.cif,2,-937.036376953125,-0.3965499997138977,180.0,2.400000095367432,320.0
L80_D3.6_U240,r80/t3.6/t3.6_240.cif,2,-937.025390625,-0.3855800032615661,80.0,3.5999999046325684,240.0
L220_D1.2_U300,r220/t1.2/t1.2_300.cif,2,-937.022705078125,-0.3828999996185303,220.0,1.2000000476837158,300.0
L220_D6_U320,r220/t6.0/t6.0_320.cif,2,-937.0069580078124,-0.3671300113201141,220.0,6.0,320.0
L220_D6_U340,r220/t6.0/t6.0_340.cif,2,-937.0037841796876,-0.3639900088310241,220.0,6.0,340.0
L200_D1.2_U320,r200/t1.2/t1.2_320.cif,2,-936.9921264648438,-0.3522999882698059,200.0,1.2000000476837158,320.0
L220_D7.2_U300,r220/t7.2/t7.2_300.cif,2,-936.99169921875,-0.3519200086593628,220.0,7.199999809265137,300.0
L220_D2.4_U320,r220/t2.4/t2.4_320.cif,2,-936.9822998046876,-0.342519998550415,220.0,2.400000095367432,320.0
L200_D7.2_U340,r200/t7.2/t7.2_340.cif,2,-936.9771728515624,-0.3373700082302093,200.0,7.199999809265137,340.0
L220_D7.2_U340,r220/t7.2/t7.2_340.cif,2,-936.9739379882812,-0.3341200053691864,220.0,7.199999809265137,340.0
L200_D2.4_U320,r200/t2.4/t2.4_320.cif,2,-936.9722900390624,-0.3324800133705139,200.0,2.400000095367432,320.0
L180_D1.2_U320,r180/t1.2/t1.2_320.cif,2,-936.9707641601562,-0.3309600055217743,180.0,1.2000000476837158,320.0
L200_D1.2_U300,r200/t1.2/t1.2_300.cif,2,-936.9638671875,-0.3240599930286407,200.0,1.2000000476837158,300.0
L240_D8.4_U120,r240/t8.4/t8.4_120.cif,2,-936.9571533203124,-0.3173399865627289,240.0,8.399999618530273,120.0
L340_D4.8_U140,r340/t4.8/t4.8_140.cif,2,-936.9547729492188,-0.3149499893188476,340.0,4.800000190734863,140.0
L300_D6_U80,r300/t6.0/t6.0_80.cif,2,-936.9511108398438,-0.3113099932670593,300.0,6.0,80.0
L180_D2.4_U300,r180/t2.4/t2.4_300.cif,2,-936.9486694335938,-0.3088600039482116,180.0,2.400000095367432,300.0
L80_D2.4_U220,r80/t2.4/t2.4_220.cif,2,-936.9466552734376,-0.3068599998950958,80.0,2.400000095367432,220.0
L80_D1.2_U220,r80/t1.2/t1.2_220.cif,2,-936.9395751953124,-0.2998000085353851,80.0,1.2000000476837158,220.0
L160_D1.2_U320,r160/t1.2/t1.2_320.cif,2,-936.9370727539062,-0.2972699999809265,160.0,1.2000000476837158,320.0
L220_D8.4_U320,r220/t8.4/t8.4_320.cif,2,-936.936767578125,-0.2969900071620941,220.0,8.399999618530273,320.0
L180_D1.2_U340,r180/t1.2/t1.2_340.cif,2,-936.93212890625,-0.2923099994659424,180.0,1.2000000476837158,340.0
L180_D9.6_U320,r180/t9.6/t9.6_320.cif,2,-936.927490234375,-0.287660002708435,180.0,9.600000381469728,320.0
L320_D2.4_U220,r320/t2.4/t2.4_220.cif,2,-936.9257202148438,-0.2858999967575073,320.0,2.400000095367432,220.0
L80_D2.4_U200,r80/t2.4/t2.4_200.cif,2,-936.9213256835938,-0.2815400063991546,80.0,2.400000095367432,200.0
L200_D2.4_U220,r200/t2.4/t2.4_220.cif,2,-936.914794921875,-0.2750200033187866,200.0,2.400000095367432,220.0
L200_D3.6_U240,r200/t3.6/t3.6_240.cif,2,-936.9147338867188,-0.2749100029468536,200.0,3.5999999046325684,240.0
L80_D3.6_U220,r80/t3.6/t3.6_220.cif,2,-936.91064453125,-0.2708599865436554,80.0,3.5999999046325684,220.0
L220_D8.4_U340,r220/t8.4/t8.4_340.cif,2,-936.907470703125,-0.2676700055599212,220.0,8.399999618530273,340.0
L320_D3.6_U220,r320/t3.6/t3.6_220.cif,2,-936.904541015625,-0.2647599875926971,320.0,3.5999999046325684,220.0
L200_D7.2_U320,r200/t7.2/t7.2_320.cif,2,-936.9033203125,-0.26350998878479,200.0,7.199999809265137,320.0
L180_D9.6_U300,r180/t9.6/t9.6_300.cif,2,-936.9032592773438,-0.2634699940681457,180.0,9.600000381469728,300.0
L220_D9.6_U320,r220/t9.6/t9.6_320.cif,2,-936.9020385742188,-0.2622100114822387,220.0,9.600000381469728,320.0
L320_D4.8_U220,r320/t4.8/t4.8_220.cif,2,-936.900146484375,-0.260340005159378,320.0,4.800000190734863,220.0
L200_D0_U320,r200/t0/t0_320.cif,2,-936.8980102539062,-0.2582100033760071,200.0,0.0,320.0
L200_D8.4_U340,r200/t8.4/t8.4_340.cif,2,-936.8967895507812,-0.2569800019264221,200.0,8.399999618530273,340.0
L200_D1.2_U340,r200/t1.2/t1.2_340.cif,2,-936.8928833007812,-0.2531099915504455,200.0,1.2000000476837158,340.0
L200_D8.4_U320,r200/t8.4/t8.4_320.cif,2,-936.8927001953124,-0.2529000043869018,200.0,8.399999618530273,320.0
L180_D9.6_U340,r180/t9.6/t9.6_340.cif,2,-936.8899536132812,-0.2501600086688995,180.0,9.600000381469728,340.0
L320_D4.8_U200,r320/t4.8/t4.8_200.cif,2,-936.8868408203124,-0.2470400035381317,320.0,4.800000190734863,200.0
L180_D0_U340,r180/t0/t0_340.cif,2,-936.8853759765624,-0.2455700039863586,180.0,0.0,340.0
L180_D0_U320,r180/t0/t0_320.cif,2,-936.8843994140624,-0.244609996676445,180.0,0.0,320.0
L300_D6_U100,r300/t6.0/t6.0_100.cif,2,-936.8841552734376,-0.2443599998950958,300.0,6.0,100.0
L320_D4.8_U120,r320/t4.8/t4.8_120.cif,2,-936.8829956054688,-0.2431900054216385,320.0,4.800000190734863,120.0
L340_D4.8_U80,r340/t4.8/t4.8_80.cif,2,-936.8789672851562,-0.2391500025987625,340.0,4.800000190734863,80.0
L220_D0_U120,r220/t0/t0_120.cif,2,-936.8751220703124,-0.2353300005197525,220.0,0.0,120.0
L240_D7.2_U340,r240/t7.2/t7.2_340.cif,2,-936.87451171875,-0.2347400039434433,240.0,7.199999809265137,340.0
L180_D0_U300,r180/t0/t0_300.cif,2,-936.8694458007812,-0.2296600043773651,180.0,0.0,300.0
L200_D2.4_U340,r200/t2.4/t2.4_340.cif,2,-936.8672485351562,-0.2274699956178665,200.0,2.400000095367432,340.0
L320_D3.6_U240,r320/t3.6/t3.6_240.cif,2,-936.8613891601562,-0.2216099947690963,320.0,3.5999999046325684,240.0
L200_D7.2_U300,r200/t7.2/t7.2_300.cif,2,-936.859619140625,-0.2197899967432022,200.0,7.199999809265137,300.0
L180_D8.4_U120,r180/t8.4/t8.4_120.cif,2,-936.8580932617188,-0.218309998512268,180.0,8.399999618530273,120.0
L340_D3.6_U220,r340/t3.6/t3.6_220.cif,2,-936.8508911132812,-0.2110700011253357,340.0,3.5999999046325684,220.0
L340_D6_U100,r340/t6.0/t6.0_100.cif,2,-936.8502197265624,-0.210439994931221,340.0,6.0,100.0
L100_D2.4_U180,r100/t2.4/t2.4_180.cif,2,-936.847900390625,-0.2080900073051452,100.0,2.400000095367432,180.0
L320_D6_U220,r320/t6.0/t6.0_220.cif,2,-936.8474731445312,-0.2076999992132187,320.0,6.0,220.0
L220_D0_U320,r220/t0/t0_320.cif,2,-936.8446044921876,-0.2048099935054779,220.0,0.0,320.0
