query_structure_id,neighbor_structure_id,rank,similarity_score,distance_metric
L0_D1.2_U200,L0_D9.6_U200,5,0.8847951655275401,cosine
L0_D1.2_U200,L0_D6_U200,6,0.8840040662183337,cosine
L0_D1.2_U200,L0_D3.6_U200,7,0.8804757062725969,cosine
L0_D1.2_U200,L0_D8.4_U200,8,0.8781815504251315,cosine
L0_D1.2_U200,L20_D0_U200,9,0.851229509900837,cosine
L0_D1.2_U200,L20_D9.6_U200,10,0.8464429889086221,cosine
L0_D1.2_U220,L0_D0_U220,1,0.9692420014961849,cosine
L0_D1.2_U220,L20_D6_U220,2,0.9092305048646798,cosine
L0_D1.2_U220,L20_D4.8_U220,3,0.8861691578188888,cosine
L0_D1.2_U220,L0_D9.6_U220,4,0.8788974370222856,cosine
L0_D1.2_U220,L20_D7.2_U220,5,0.8692847211115564,cosine
L0_D1.2_U220,L20_D2.4_U220,6,0.8643540899579907,cosine
L0_D1.2_U220,L20_D0_U220,7,0.8507730432846131,cosine
L0_D1.2_U220,L20_D8.4_U220,8,0.8440880996775002,cosine
L0_D1.2_U220,L0_D6_U220,9,0.8396816773663609,cosine
L0_D1.2_U220,L0_D8.4_U220,10,0.8393497204637823,cosine
L0_D1.2_U240,L0_D0_U240,1,0.979813382649452,cosine
L0_D1.2_U240,L340_D1.2_U240,2,0.8700074213821075,cosine
L0_D1.2_U240,L340_D3.6_U240,3,0.8667751793457563,cosine
L0_D1.2_U240,L0_D3.6_U240,4,0.845805930135366,cosine
L0_D1.2_U240,L0_D2.4_U260,5,0.8266494382838475,cosine
L0_D1.2_U240,L0_D1.2_U260,6,0.815465505165358,cosine
L0_D1.2_U240,L340_D1.2_U260,7,0.8042037780844182,cosine
L0_D1.2_U240,L0_D8.4_U260,8,0.7946665389555512,cosine
L0_D1.2_U240,L0_D6_U260,9,0.7941218678910152,cosine
L0_D1.2_U240,L340_D2.4_U260,10,0.7936344134317291,cosine
L0_D1.2_U260,L0_D2.4_U260,1,0.9895310583819065,cosine
L0_D1.2_U260,L20_D2.4_U260,2,0.9667635253246815,cosine
L0_D1.2_U260,L20_D1.2_U260,3,0.961806859375704,cosine
L0_D1.2_U260,L340_D1.2_U260,4,0.9375093194599375,cosine
L0_D1.2_U260,L340_D2.4_U260,5,0.9275887669729307,cosine
L0_D1.2_U260,L220_D1.2_U120,6,0.893849737907749,cosine
L0_D1.2_U260,L220_D0_U120,7,0.8915281900148451,cosine
L0_D1.2_U260,L220_D9.6_U120,8,0.8868873709423399,cosine
L0_D1.2_U260,L220_D7.2_U120,9,0.8866931115453633,cosine
L0_D1.2_U260,L220_D2.4_U120,10,0.8803927344007356,cosine
L0_D1.2_U280,L0_D2.4_U280,1,0.9909877514611373,cosine
L0_D1.2_U280,L0_D4.8_U280,2,0.9755258168114453,cosine
L0_D1.2_U280,L0_D0_U280,3,0.9582424990702183,cosine
L0_D1.2_U280,L0_D0_U80,4,0.9520786207159135,cosine
L0_D1.2_U280,L0_D3.6_U280,5,0.9458083861001181,cosine
L0_D1.2_U280,L20_D4.8_U280,6,0.899453718813392,cosine
L0_D1.2_U280,L340_D1.2_U280,7,0.8979777659675577,cosine
L0_D1.2_U280,L0_D6_U280,8,0.8896443892744744,cosine
L0_D1.2_U280,L340_D2.4_U280,9,0.8805003521875926,cosine
L0_D1.2_U280,L340_D3.6_U280,10,0.8705004317103671,cosine
L0_D1.2_U300,L0_D2.4_U300,1,0.9910949158714866,cosine
L0_D1.2_U300,L0_D0_U300,2,0.9620754039236525,cosine
L0_D1.2_U300,L0_D4.8_U300,3,0.9286020179900895,cosine
L0_D1.2_U300,L20_D0_U300,4,0.9261112024713032,cosine
L0_D1.2_U300,L0_D2.4_U320,5,0.8953255094464253,cosine
L0_D1.2_U300,L0_D6_U300,6,0.8823329788225213,cosine
L0_D1.2_U300,L20_D7.2_U300,7,0.8805596374588885,cosine
L0_D1.2_U300,L340_D2.4_U300,8,0.8784638700842393,cosine
L0_D1.2_U300,L20_D9.6_U300,9,0.8700174426010006,cosine
L0_D1.2_U300,L20_D4.8_U300,10,0.869149719802967,cosine
L0_D1.2_U320,L0_D4.8_U320,1,0.9708271745295327,cosine
L0_D1.2_U320,L0_D3.6_U320,2,0.9653858899739106,cosine
L0_D1.2_U320,L0_D0_U320,3,0.9631405606753222,cosine
L0_D1.2_U320,L0_D2.4_U320,4,0.9280739814832668,cosine
L0_D1.2_U320,L0_D6_U320,5,0.8912677732125045,cosine
L0_D1.2_U320,L0_D0_U300,6,0.881715936327275,cosine
L0_D1.2_U320,L0_D8.4_U320,7,0.8751582566541726,cosine
L0_D1.2_U320,L0_D4.8_U300,8,0.8721673158910668,cosine
L0_D1.2_U320,L20_D4.8_U320,9,0.87102839265282,cosine
L0_D1.2_U320,L0_D9.6_U320,10,0.8677579490692574,cosine
L0_D1.2_U340,L0_D3.6_U340,1,0.9643439162060309,cosine
L0_D1.2_U340,L0_D4.8_U340,2,0.9616004802834935,cosine
L0_D1.2_U340,L0_D0_U340,3,0.9155659112896688,cosine
L0_D1.2_U340,L0_D0_U0,4,0.9117421474635822,cosine
L0_D1.2_U340,L0_D8.4_U340,5,0.9076444198123257,cosine
L0_D1.2_U340,L0_D9.6_U340,6,0.9008472036033858,cosine
L0_D1.2_U340,L20_D3.6_U340,7,0.8918945936693922,cosine
L0_D1.2_U340,L0_D0_U20,8,0.8841784630526268,cosine
L0_D1.2_U340,L340_D3.6_U340,9,0.8713619026574576,cosine
L0_D1.2_U340,L340_D0_U340,10,0.8703182590250524,cosine
L0_D1.2_U40,L0_D2.4_U40,1,0.9817105141428045,cosine
L0_D1.2_U40,L0_D0_U40,2,0.9792596322166399,cosine
L0_D1.2_U40,L0_D4.8_U40,3,0.9520109148115267,cosine
L0_D1.2_U40,L0_D3.6_U40,4,0.9369413450591477,cosine
L0_D1.2_U40,L0_D9.6_U40,5,0.9319452806865315,cosine
L0_D1.2_U40,L340_D1.2_U40,6,0.9265720734272069,cosine
L0_D1.2_U40,L340_D0_U40,7,0.9241522702158222,cosine
L0_D1.2_U40,L0_D6_U40,8,0.9225314827304509,cosine
L0_D1.2_U40,L0_D8.4_U40,9,0.9047485295443367,cosine
L0_D1.2_U40,L20_D2.4_U40,10,0.9006676902229109,cosine
L0_D1.2_U60,L0_D2.4_U60,1,0.9889176187015541,cosine
L0_D1.2_U60,L0_D1.2_U80,2,0.9779024379095119,cosine
L0_D1.2_U60,L0_D0_U60,3,0.976899355001319,cosine
L0_D1.2_U60,L0_D3.6_U60,4,0.9708236252440511,cosine
L0_D1.2_U60,L0_D2.4_U80,5,0.9580141103028708,cosine
L0_D1.2_U60,L0_D6_U60,6,0.9542814281898117,cosine
L0_D1.2_U60,L20_D4.8_U80,7,0.898992059940099,cosine
L0_D1.2_U60,L20_D1.2_U80,8,0.8983220953055293,cosine
L0_D1.2_U60,L20_D0_U80,9,0.8932023656953837,cosine
L0_D1.2_U60,L20_D2.4_U80,10,0.8868731578056362,cosine
L0_D1.2_U80,L0_D2.4_U80,1,0.9879944006482535,cosine
L0_D1.2_U80,L0_D1.2_U60,2,0.9779024379095119,cosine
L0_D1.2_U80,L0_D2.4_U60,3,0.9724151585669818,cosine
L0_D1.2_U80,L0_D3.6_U60,4,0.960262802655669,cosine
L0_D1.2_U80,L0_D0_U60,5,0.9508544570169093,cosine
L0_D1.2_U80,L20_D4.8_U80,6,0.9300607069232386,cosine
L0_D1.2_U80,L0_D6_U60,7,0.927015063001832,cosine
L0_D1.2_U80,L20_D0_U80,8,0.9241650173182666,cosine
L0_D1.2_U80,L20_D3.6_U80,9,0.9034416048816486,cosine
L0_D1.2_U80,L20_D2.4_U80,10,0.9024219384493155,cosine
L0_D2.4_U0,L0_D3.6_U0,1,0.9690684187553007,cosine
L0_D2.4_U0,L0_D1.2_U0,2,0.9529872177593162,cosine
L0_D2.4_U0,L0_D6_U0,3,0.8732565639110422,cosine
L0_D2.4_U0,L20_D1.2_U0,4,0.8705275042007925,cosine
L0_D2.4_U0,L0_D2.4_U20,5,0.8659273814065662,cosine
L0_D2.4_U0,L20_D4.8_U0,6,0.863238361306358,cosine
L0_D2.4_U0,L20_D3.6_U0,7,0.8552166052244565,cosine
L0_D2.4_U0,L0_D1.2_U180,8,0.8469411068883872,cosine
L0_D2.4_U0,L0_D1.2_U20,9,0.845411319789665,cosine
L0_D2.4_U0,L0_D4.8_U20,10,0.8416281242253896,cosine
L0_D2.4_U100,L0_D1.2_U100,1,0.9851796485404167,cosine
L0_D2.4_U100,L20_D3.6_U100,2,0.9051955923304971,cosine
L0_D2.4_U100,L20_D1.2_U120,3,0.8394690838992546,cosine
L0_D2.4_U100,L20_D2.4_U120,4,0.8362335492738513,cosine
L0_D2.4_U100,L20_D0_U120,5,0.8357895588330458,cosine
L0_D2.4_U100,L20_D3.6_U120,6,0.8343244325018961,cosine
L0_D2.4_U100,L0_D1.2_U300,7,0.8314718678708236,cosine
L0_D2.4_U100,L0_D2.4_U300,8,0.8257088339457709,cosine
L0_D2.4_U100,L20_D1.2_U100,9,0.8167823575089799,cosine
L0_D2.4_U100,L0_D2.4_U280,10,0.8112885222893407,cosine
L0_D2.4_U120,L0_D3.6_U120,1,0.9840288630734686,cosine
