,file_id,r_bottom,displacement,r_upper,energy_values_experimental,adjusted_energy
2538,r40_t7.2_t7.2_0_transformed.cif,40,7.2,0,-936.14537,0.4944300000000794
2539,r40_t7.2_t7.2_100_transformed.cif,40,7.2,100,-936.16696,0.4728400000000192
2540,r40_t7.2_t7.2_120_transformed.cif,40,7.2,120,-936.23582,0.4039800000000468
2541,r40_t7.2_t7.2_140_transformed.cif,40,7.2,140,-936.1536,0.4862000000000535
2542,r40_t7.2_t7.2_160_transformed.cif,40,7.2,160,-936.07673,0.5630700000000388
2543,r40_t7.2_t7.2_180_transformed.cif,40,7.2,180,-936.03756,0.6022400000000516
2544,r40_t7.2_t7.2_200_transformed.cif,40,7.2,200,-936.02139,0.6184100000000399
2545,r40_t7.2_t7.2_20_transformed.cif,40,7.2,20,-936.09926,0.5405400000000782
2546,r40_t7.2_t7.2_220_transformed.cif,40,7.2,220,-936.0409,0.5989000000000715
2547,r40_t7.2_t7.2_240_transformed.cif,40,7.2,240,-936.10714,0.5326600000000781
2548,r40_t7.2_t7.2_260_transformed.cif,40,7.2,260,-936.14631,0.4934900000000652
2549,r40_t7.2_t7.2_280_transformed.cif,40,7.2,280,-936.03749,0.6023099999999886
2550,r40_t7.2_t7.2_300_transformed.cif,40,7.2,300,-936.20133,0.4384700000000521
2551,r40_t7.2_t7.2_320_transformed.cif,40,7.2,320,-936.34478,0.2950200000000222
2552,r40_t7.2_t7.2_340_transformed.cif,40,7.2,340,-936.29643,0.3433700000000499
2553,r40_t7.2_t7.2_40_transformed.cif,40,7.2,40,-936.06508,0.5747200000000703
2554,r40_t7.2_t7.2_60_transformed.cif,40,7.2,60,-936.15821,0.4815899999999828
2555,r40_t7.2_t7.2_80_transformed.cif,40,7.2,80,-936.07371,0.5660900000000311
2556,r40_t8.4_t8.4_0_transformed.cif,40,8.4,0,-936.14303,0.4967700000000832
2557,r40_t8.4_t8.4_100_transformed.cif,40,8.4,100,-936.20058,0.4392200000000912
2558,r40_t8.4_t8.4_120_transformed.cif,40,8.4,120,-936.16945,0.4703500000000531
2559,r40_t8.4_t8.4_140_transformed.cif,40,8.4,140,-936.1034,0.5364000000000715
2560,r40_t8.4_t8.4_160_transformed.cif,40,8.4,160,-936.05816,0.581639999999993
2561,r40_t8.4_t8.4_180_transformed.cif,40,8.4,180,-936.06635,0.5734499999999798
2562,r40_t8.4_t8.4_200_transformed.cif,40,8.4,200,-936.06517,0.5746300000000701
2563,r40_t8.4_t8.4_20_transformed.cif,40,8.4,20,-936.10084,0.5389600000000883
2564,r40_t8.4_t8.4_220_transformed.cif,40,8.4,220,-936.07606,0.5637400000000525
2565,r40_t8.4_t8.4_240_transformed.cif,40,8.4,240,-936.08966,0.5501400000000558
2566,r40_t8.4_t8.4_260_transformed.cif,40,8.4,260,-936.15393,0.4858700000000908
2567,r40_t8.4_t8.4_280_transformed.cif,40,8.4,280,-936.16912,0.4706800000000157
2568,r40_t8.4_t8.4_300_transformed.cif,40,8.4,300,-936.32393,0.3158700000000181
2569,r40_t8.4_t8.4_320_transformed.cif,40,8.4,320,-936.43555,0.2042500000000018
2570,r40_t8.4_t8.4_340_transformed.cif,40,8.4,340,-936.42062,0.2191800000000512
2571,r40_t8.4_t8.4_40_transformed.cif,40,8.4,40,-936.07131,0.568489999999997
2572,r40_t8.4_t8.4_60_transformed.cif,40,8.4,60,-936.19459,0.4452100000000882
2573,r40_t8.4_t8.4_80_transformed.cif,40,8.4,80,-936.23304,0.4067600000000766
2574,r40_t9.6_t9.6_0_transformed.cif,40,9.6,0,-936.11433,0.5254700000000412
2575,r40_t9.6_t9.6_100_transformed.cif,40,9.6,100,-936.31577,0.3240299999999934
2576,r40_t9.6_t9.6_120_transformed.cif,40,9.6,120,-936.19139,0.4484100000000808
2577,r40_t9.6_t9.6_140_transformed.cif,40,9.6,140,-936.09902,0.5407800000000407
2578,r40_t9.6_t9.6_160_transformed.cif,40,9.6,160,-936.08623,0.5535700000000361
2579,r40_t9.6_t9.6_180_transformed.cif,40,9.6,180,-936.09706,0.5427399999999807
2580,r40_t9.6_t9.6_200_transformed.cif,40,9.6,200,-936.12855,0.5112500000000182
2581,r40_t9.6_t9.6_20_transformed.cif,40,9.6,20,-936.08026,0.5595400000000836
2582,r40_t9.6_t9.6_220_transformed.cif,40,9.6,220,-936.19325,0.446550000000002
2583,r40_t9.6_t9.6_240_transformed.cif,40,9.6,240,-936.17322,0.4665800000000217
2584,r40_t9.6_t9.6_260_transformed.cif,40,9.6,260,-936.19645,0.4433500000000094
2585,r40_t9.6_t9.6_280_transformed.cif,40,9.6,280,-936.18367,0.4561300000000301
2586,r40_t9.6_t9.6_300_transformed.cif,40,9.6,300,-936.35408,0.285720000000083
2587,r40_t9.6_t9.6_320_transformed.cif,40,9.6,320,-936.39778,0.242020000000025
2588,r40_t9.6_t9.6_340_transformed.cif,40,9.6,340,-936.37312,0.2666800000000648
2589,r40_t9.6_t9.6_40_transformed.cif,40,9.6,40,-936.07972,0.5600800000000845
2590,r40_t9.6_t9.6_60_transformed.cif,40,9.6,60,-936.20952,0.4302800000000388
