structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,pca_1,pca_2,umap_1,umap_2,tsne_1,tsne_2
L320_D2.4_U340,r320/t2.4/t2.4_340.cif,320.0,2.400000095367432,340.0,-936.3016967773438,0.3380799889564514,1.8287773943869292,-5.087694678696052,11.783146,-7.1727395,19.728065,-17.409939
L320_D2.4_U40,r320/t2.4/t2.4_40.cif,320.0,2.400000095367432,40.0,-936.2188110351562,0.420989990234375,0.06063590350385548,-1.626287634729811,15.974737,-8.015775,-22.914303,5.556924
L320_D2.4_U60,r320/t2.4/t2.4_60.cif,320.0,2.400000095367432,60.0,-936.34619140625,0.293610006570816,2.8222514751165133,-1.5947107580765705,9.886715,-9.20481,32.450077,1.1935955
L320_D2.4_U80,r320/t2.4/t2.4_80.cif,320.0,2.400000095367432,80.0,-936.4043579101562,0.2354200035333633,5.430601092581035,-1.507401928580482,9.851878,-9.107656,34.17751,1.079848
L320_D3.6_U0,r320/t3.6/t3.6_0.cif,320.0,3.5999999046325684,0.0,-936.1524658203124,0.4873200058937073,-1.134526973882082,-2.4527237064340635,14.658926,-7.3574004,-19.293465,0.903009
L320_D3.6_U100,r320/t3.6/t3.6_100.cif,320.0,3.5999999046325684,100.0,-936.3848876953124,0.2549299895763397,6.1369212279125716,-1.7492605094818432,10.596081,-8.615982,34.324284,-5.519787
L320_D3.6_U120,r320/t3.6/t3.6_120.cif,320.0,3.5999999046325684,120.0,-936.1708984375,0.4688999950885772,3.8695955217736944,-4.813352964149561,11.201332,-7.6493187,30.675642,-13.972728
L320_D3.6_U140,r320/t3.6/t3.6_140.cif,320.0,3.5999999046325684,140.0,-936.42041015625,0.2194200009107589,4.802071625863671,-4.029013502441798,11.195675,-7.4764023,26.733929,-16.736002
L320_D3.6_U160,r320/t3.6/t3.6_160.cif,320.0,3.5999999046325684,160.0,-936.4531860351562,0.1865900009870529,0.8316359841298551,-4.494147936351811,13.889838,-7.218415,-16.343111,-2.1204708
L320_D3.6_U180,r320/t3.6/t3.6_180.cif,320.0,3.5999999046325684,180.0,-936.6112060546876,0.0286100003868341,0.6412867310889638,-2.7039535643021853,14.10419,-7.3383555,-14.862642,-0.44711012
L320_D3.6_U20,r320/t3.6/t3.6_20.cif,320.0,3.5999999046325684,20.0,-936.2190551757812,0.4207600057125091,-0.3935735993853904,-1.8422718190785823,15.356557,-7.7807865,-21.718191,4.1176395
L320_D3.6_U200,r320/t3.6/t3.6_200.cif,320.0,3.5999999046325684,200.0,-936.8009643554688,-0.161190003156662,3.754154186488525,-0.772339537240861,10.303301,-7.072454,41.798504,-15.265744
L320_D3.6_U220,r320/t3.6/t3.6_220.cif,320.0,3.5999999046325684,220.0,-936.904541015625,-0.2647599875926971,5.221967331255869,1.4221485697432998,10.114587,-7.0195594,43.19874,-15.389158
L320_D3.6_U240,r320/t3.6/t3.6_240.cif,320.0,3.5999999046325684,240.0,-936.8613891601562,-0.2216099947690963,5.519489261505554,2.0953833260470645,10.170965,-7.210463,43.604538,-15.772632
L320_D3.6_U260,r320/t3.6/t3.6_260.cif,320.0,3.5999999046325684,260.0,-936.3657836914062,0.2740299999713897,4.863379955117437,0.08982350596207993,10.940931,-8.770228,40.733513,-4.1488624
L320_D3.6_U280,r320/t3.6/t3.6_280.cif,320.0,3.5999999046325684,280.0,-936.6198120117188,0.0200100000947713,8.063964166120732,-0.5371489369627176,9.923438,-9.0827265,34.001057,2.1284585
L320_D3.6_U300,r320/t3.6/t3.6_300.cif,320.0,3.5999999046325684,300.0,-936.5552368164062,0.0845799967646598,6.94445623543303,-3.063711435784512,10.937316,-8.353139,32.50265,-7.029581
L320_D3.6_U320,r320/t3.6/t3.6_320.cif,320.0,3.5999999046325684,320.0,-936.5205078125,0.1193000003695488,4.634105392143887,-6.196128979313741,11.362565,-7.4151473,22.095781,-17.007126
L320_D3.6_U340,r320/t3.6/t3.6_340.cif,320.0,3.5999999046325684,340.0,-936.6138305664062,0.0259899999946355,5.854110459773476,-2.6283297686355853,11.186707,-7.246601,25.42457,-20.171001
L320_D3.6_U40,r320/t3.6/t3.6_40.cif,320.0,3.5999999046325684,40.0,-936.3150634765624,0.3247100114822387,0.7928602180761389,-1.3507774097150875,16.037865,-7.9985194,-22.761896,5.7960997
L320_D3.6_U60,r320/t3.6/t3.6_60.cif,320.0,3.5999999046325684,60.0,-936.4982299804688,0.1415999978780746,3.5911835983651326,-0.6209342228547744,9.83724,-9.140616,32.470337,1.519623
L320_D3.6_U80,r320/t3.6/t3.6_80.cif,320.0,3.5999999046325684,80.0,-936.4929809570312,0.146819993853569,5.538964355854132,-0.6470328088418389,9.875982,-9.161422,33.402435,1.757771
L320_D4.8_U0,r320/t4.8/t4.8_0.cif,320.0,4.800000190734863,0.0,-936.1102905273438,0.52947998046875,-1.5145814877166826,-3.127692176521334,14.820608,-7.243282,-19.483404,0.6343651
L320_D4.8_U100,r320/t4.8/t4.8_100.cif,320.0,4.800000190734863,100.0,-936.809326171875,-0.1695200055837631,7.702937513325421,0.9210343601344827,10.709776,-8.769707,37.876995,-4.704786
L320_D4.8_U120,r320/t4.8/t4.8_120.cif,320.0,4.800000190734863,120.0,-936.8829956054688,-0.2431900054216385,5.797638472729557,-3.4567402719188327,11.075631,-7.677628,28.820349,-13.953941
L320_D4.8_U140,r320/t4.8/t4.8_140.cif,320.0,4.800000190734863,140.0,-936.616943359375,0.0228700004518032,5.269258332292319,-2.431900500862909,11.023645,-7.44868,27.598866,-18.651253
L320_D4.8_U160,r320/t4.8/t4.8_160.cif,320.0,4.800000190734863,160.0,-936.66650390625,-0.0266800001263618,4.4900901233711945,-4.0759296834027055,11.194581,-7.4037576,27.171963,-18.07883
L320_D4.8_U180,r320/t4.8/t4.8_180.cif,320.0,4.800000190734863,180.0,-936.7147216796876,-0.0749500021338462,2.3416206425462596,-2.434691989900343,13.716604,-7.466954,-13.691411,-0.65920806
L320_D4.8_U20,r320/t4.8/t4.8_20.cif,320.0,4.800000190734863,20.0,-936.1729125976562,0.4668999910354614,-0.05577668143359789,-2.301428050248147,15.457365,-7.866733,-21.680182,4.220658
