structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy
L20_D1.2_U180,r20/t1.2/t1.2_180.cif,20.0,1.2,180.0,-936.17377,0.46603000000004613
L20_D1.2_U200,r20/t1.2/t1.2_200.cif,20.0,1.2,200.0,-936.11294,0.5268600000000561
L20_D1.2_U220,r20/t1.2/t1.2_220.cif,20.0,1.2,220.0,-936.12899,0.5108099999999922
L20_D1.2_U240,r20/t1.2/t1.2_240.cif,20.0,1.2,240.0,-936.30816,0.33163999999999305
L20_D1.2_U260,r20/t1.2/t1.2_260.cif,20.0,1.2,260.0,-936.73005,-0.09024999999996908
L20_D1.2_U280,r20/t1.2/t1.2_280.cif,20.0,1.2,280.0,-936.20144,0.43835999999998876
L20_D1.2_U300,r20/t1.2/t1.2_300.cif,20.0,1.2,300.0,-936.15547,0.4843299999999999
L20_D1.2_U320,r20/t1.2/t1.2_320.cif,20.0,1.2,320.0,-936.16707,0.4727300000000696
L20_D1.2_U340,r20/t1.2/t1.2_340.cif,20.0,1.2,340.0,-936.31127,0.32853000000000065
L20_D2.4_U0,r20/t2.4/t2.4_0.cif,20.0,2.4,0.0,-936.13902,0.500780000000077
L20_D2.4_U20,r20/t2.4/t2.4_20.cif,20.0,2.4,20.0,-936.13291,0.5068899999999985
L20_D2.4_U40,r20/t2.4/t2.4_40.cif,20.0,2.4,40.0,-936.14433,0.49547000000006847
L20_D2.4_U60,r20/t2.4/t2.4_60.cif,20.0,2.4,60.0,-936.17607,0.46373000000005504
L20_D2.4_U80,r20/t2.4/t2.4_80.cif,20.0,2.4,80.0,-936.18814,0.4516600000000608
L20_D2.4_U100,r20/t2.4/t2.4_100.cif,20.0,2.4,100.0,-936.18933,0.4504699999999957
L20_D2.4_U120,r20/t2.4/t2.4_120.cif,20.0,2.4,120.0,-936.35867,0.2811300000000756
L20_D2.4_U140,r20/t2.4/t2.4_140.cif,20.0,2.4,140.0,-936.29511,0.34469000000001415
L20_D2.4_U160,r20/t2.4/t2.4_160.cif,20.0,2.4,160.0,-936.2553,0.38450000000000273
L20_D2.4_U180,r20/t2.4/t2.4_180.cif,20.0,2.4,180.0,-936.1724,0.4673999999999978
L20_D2.4_U200,r20/t2.4/t2.4_200.cif,20.0,2.4,200.0,-936.12454,0.515260000000012
